transaction_id,customer_id,product_id,amount,payment_mode,date,name,age,gender,city,income,product_name,category,price,stock,purchased,days_since_last_purchase,product_id_numeric,transaction_id_numeric,gender_label,city_Bangalore,city_Chennai,city_Delhi,city_Hyderabad,city_Jaipur,city_Kolkata,city_Mumbai,city_Pune,city_Surat,city_nan,amount_binned,amount_binned_quantile,amount_binned_kmeans,amount_binarized,customers_per_product,amount_log,amount_sqrt,amount_reciprocal,amount_yeojohnson,income_binned,frequent_buyer
T00001,-0.7295275655072749,P029,-0.15013823452654868,Debit Card,2025-10-14,Meera,-1.2183727742065968,Female,Surat,-1.1580322559699745,Smart Watch,Wearable,-0.8833572483001267,0.8689301641432637,0.22773711809756345,191.0,29.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,85.16,-0.1626815715780442,,-6.6605285710164965,-0.15146874613607458,0.0,0
T00002,-0.7823669907203964,P033,-0.09775891389886936,Credit Card,2025-10-08,Kabir,0.01971482024648979,Female,Hyderabad,0.9715734105474104,Mouse,Wearable,-0.7577805968539483,0.8305411265693526,0.22773711809756345,197.0,33.0,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,85.16,-0.10287351514103757,,-10.229246225642552,-0.09833106538626749,3.0,0
T00003,1.3284289954248267,P029,1.9307334729775203,UPI,2025-01-14,Vivaan,1.0927240687724982,Male,Hyderabad,2.7712013530855288e-05,Smart Watch,Wearable,-0.8833572483001267,0.8689301641432637,-4.391027726853016,464.0,29.0,3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,85.16,1.0752527237753693,1.389508356569877,0.5179378790206789,1.787417560872505,2.0,1
T00004,0.8730365807591083,P050,1.2749625498679946,Cash,2025-06-13,Riya,-0.9707552553159795,Female,Jaipur,7.476599094882871e-05,USB Cable,Accessories,-0.679738610079487,-1.5879682405870463,0.22773711809756345,314.0,50.0,4.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,85.16,0.8219635906709343,1.1291423957446618,0.7843367634799179,1.2042823220846097,2.0,1
T00005,-1.449117106238601,P044,-1.6557243164709408,UPI,2025-05-03,,1.0101848958089592,Female,Ahmedabad,0.8725588744161417,Laptop Stand,Wearable,0.13047910716082867,1.7134889907693078,0.22773711809756345,355.0,44.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.16,,,-0.6039652797947824,-1.7763541524786859,3.0,0
T00006,0.012310154261154983,P004,0.9447173210325044,Credit Card,2025-05-13,Ananya,1.4228807606266547,Male,,-0.6294430269074394,Headphones,Accessories,-0.41723374547448105,1.022486314438908,0.22773711809756345,345.0,4.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,85.16,0.6651166302780015,0.9719656995143936,1.058517693738508,0.9029940149695715,1.0,1
T00007,-0.5014837303769609,P018,-1.002899125233279,Cash,2025-10-13,Neha,-0.39298104457120575,Male,Delhi,-0.2275002975476898,Laptop Stand,Computer,1.5820600611658076,-1.0121326769783798,0.22773711809756345,192.0,18.0,7.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,85.16,,,-0.9971092554967642,-1.0521700392888125,2.0,0
T00008,-1.3490003005716338,P022,1.1395428428793604,UPI,2025-11-13,,-1.0532944282795187,Female,Delhi,-1.6642600626607449,Laptop Stand,Audio,1.3323257034875315,0.4466507508302417,0.22773711809756345,161.0,22.0,8.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,85.16,0.7605921813899987,1.067493720299731,0.8775448910595388,1.081435906204752,0.0,1
T00009,-1.0569929507096465,P035,0.71412055583016,Cash,2025-04-06,Aarav,0.004331800032560413,Female,Kolkata,0.7143402978177527,USB Cable,Wearable,1.4976328209279812,-0.244351925500158,0.22773711809756345,382.0,35.0,9.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,85.16,0.5389001536590501,0.8450565400197552,1.4003237852430601,0.6889013473286884,3.0,1
T00010,1.4897282934438294,P004,-0.17057894501539914,Credit Card,2025-07-19,,0.8451065498818809,Male,Pune,-0.4403175873512797,Headphones,Accessories,-0.41723374547448105,1.022486314438908,0.22773711809756345,278.0,4.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,85.16,-0.18702734568956128,,-5.862388236109464,-0.17228711975120653,1.0,0
T00011,-0.19835229099642165,P046,-0.9920399977860772,Credit Card,2025-05-30,Sneha,0.7625673769183418,Male,Jaipur,0.41729668942394665,Earphones,Wearable,-0.6343323632288914,-1.6263572781609574,0.22773711809756345,328.0,46.0,11.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,85.16,-4.83332600099488,,-1.0080238723564467,-1.0403454921841653,3.0,0
